AU,TI,SO,PY,DT,DE,ID,TC,DI,URL,AB,C1,RP,CR,NR,DB,MANUSCRIPT_REF,CORPUS_STATUS
"Liu, Y., et al.",Automated GA-ANN design loop for flattened dispersion PCFs,Optics Express,2013,Article,ANN / MLP / BPNN; Genetic algorithm / GA / NSGA; Optical communications / nonlinear optics; chromatic/group velocity dispersion,Hybrid AI-metaheuristic / optimizer; Optical communications / nonlinear optics,,,,,,,,,ManuscriptSeed,65,Primary study claimed by manuscript
"Khan, M. F., et al.",Liquid analyte index modeling using shallow ANNs integrated with COMSOL,Results in Physics,2013,Article,Not explicit in title - full-text extraction needed; PCF-SPR / biosensing; sensitivity / FOM / RIU,Classical ML; PCF-SPR / biosensing,,,,,,,,,ManuscriptSeed,66,Primary study claimed by manuscript
"Wang, Z., et al.",PSO paired with SVMs for high-sensitivity SPR-PCF engineering,Optical Fiber Technology,2014,Article,Transformer / attention / ViT; Particle swarm / PSO; PCF-SPR / biosensing; sensitivity / FOM / RIU,Deep learning; PCF-SPR / biosensing,,,,,,,,,ManuscriptSeed,67,Primary study claimed by manuscript
"Ghosh, S., et al.",Analysis of effective mode area in macro-bent PCFs via Gaussian process regression,Journal of Lightwave Technology,2014,Article,GPR / Gaussian process / Kriging; General PCF modeling / design; effective mode area / A_eff,Classical ML; General PCF modeling / design,,,,,,,,,ManuscriptSeed,68,Primary study claimed by manuscript
"Ahmed, S., et al.",Random forest regression for predicting nonlinear coefficients in chalcogenide PCFs,Optics & Laser Technology,2015,Article,Random forest; General PCF modeling / design; nonlinear coefficient / supercontinuum,Classical ML; General PCF modeling / design,,,,,,,,,ManuscriptSeed,69,Primary study claimed by manuscript
"Kim, J., et al.",Multi-objective evolutionary algorithms using neural network surrogates for MOF optimization,Optik,2015,Article,ANN / MLP / BPNN; Machine learning general; General PCF modeling / design; Not explicit in title,Hybrid AI-metaheuristic / optimizer; General PCF modeling / design,,,,,,,,,ManuscriptSeed,70,Primary study claimed by manuscript
"Das, S., et al.",Deep FCNNs for modeling high-dimensional cladding features in octagonal PCFs,IEEE Photonics Journal,2016,Article,DNN / deep neural network; General PCF modeling / design; Not explicit in title,Deep learning; General PCF modeling / design,,,,,,,,,ManuscriptSeed,71,Primary study claimed by manuscript
"El-Amir, M., et al.",Optimization of porous-core polymer fibers for THz using RBF neural networks,Journal of Lightwave Technology,2016,Article,ANN / MLP / BPNN; THz PCF waveguides; Not explicit in title,Classical ML; THz PCF waveguides,,,,,,,,,ManuscriptSeed,72,Primary study claimed by manuscript
"Yang, H., et al.",Image-based structural classification of PCF modes using deep CNNs,Optics Express,2017,Article,Not explicit in title - full-text extraction needed; General PCF modeling / design; Not explicit in title,Deep learning; General PCF modeling / design,,,,,,,,,ManuscriptSeed,73,Primary study claimed by manuscript
"Mishra, P., et al.",Gradient boosting for predicting anomalous dispersion in pure silica microstructured fibers,Optical Fiber Technology,2017,Article,XGBoost / gradient boosting / LightGBM; Optical communications / nonlinear optics; chromatic/group velocity dispersion,Classical ML; Optical communications / nonlinear optics,,,,,,,,,ManuscriptSeed,74,Primary study claimed by manuscript
"Rahman, M. M., et al.",Design of a gold-coated PCF biosensor using ANNs to maximize response amplitude,Results in Physics,2018,Article,Not explicit in title - full-text extraction needed; PCF-SPR / biosensing; sensitivity / FOM / RIU,Classical ML; PCF-SPR / biosensing,,,,,,,,,ManuscriptSeed,75,Primary study claimed by manuscript
"Tan, Y., et al.",DNNs for fast forward estimation of effective indices in multi-ring hollow-core layouts,Optics Express,2018,Article,Not explicit in title - full-text extraction needed; Hollow-core / anti-resonant PCF; effective refractive index / n_eff,Deep learning; Hollow-core / anti-resonant PCF,,,,,,,,,ManuscriptSeed,76,Primary study claimed by manuscript
"Singh, S., et al.",Inverse design of flattened dispersion PCF via tandem deep networks,IEEE Photonics Journal,2018,Article,Not explicit in title - full-text extraction needed; Optical communications / nonlinear optics; chromatic/group velocity dispersion; geometry / topology / structural validity,Inverse / generative design; Optical communications / nonlinear optics,,,,,,,,,ManuscriptSeed,77,Primary study claimed by manuscript
"Zhou, J., et al.",CNN classification matrices for automated spatial mode tracking in deformed PCF claddings,Journal of Lightwave Technology,2019,Article,CNN / ResNet / convolutional; General PCF modeling / design; Not explicit in title,Deep learning; General PCF modeling / design,,,,,,,,,ManuscriptSeed,78,Primary study claimed by manuscript
"Hasan, M. R., et al.",Highly sensitive alcohol sensor based on gas-infiltrated PCF optimized via RF regressors,Optik,2019,Article,Random forest; Chemical / gas / liquid sensing; sensitivity / FOM / RIU,Classical ML; Chemical / gas / liquid sensing,,,,,,,,,ManuscriptSeed,79,Primary study claimed by manuscript
"Patel, V., et al.",Extreme learning machine architectures for V-parameter indices in asymmetric microstructured designs,Optical Fiber Technology,2019,Article,ANN / MLP / BPNN; General PCF modeling / design; effective refractive index / n_eff,Classical ML; General PCF modeling / design,,,,,,,,,ManuscriptSeed,80,Primary study claimed by manuscript
"Li, C., et al.",DL forward models for dual-guided core PCFs tracking effective material loss in THz bands,Optics Express,2020,Article,Not explicit in title - full-text extraction needed; THz PCF waveguides; confinement loss; effective material loss / EML,Background / non-AI / requires coding; THz PCF waveguides,,,,,,,,,ManuscriptSeed,81,Primary study claimed by manuscript
"Chowdhury, S., et al.",Optimization of ultra-high sensitivity PCF biosensor using deep MLP regression,Results in Physics,2020,Article,Transformer / attention / ViT; DNN / deep neural network; ANN / MLP / BPNN; PCF-SPR / biosensing; sensitivity / FOM / RIU,Deep learning; PCF-SPR / biosensing,,,,,,,,,ManuscriptSeed,82,Primary study claimed by manuscript
"Ma, D., et al.",Generative inverse design of elliptical-hole PCFs via conditional GANs,IEEE Photonics Journal,2020,Article,Not explicit in title - full-text extraction needed; General PCF modeling / design; geometry / topology / structural validity,Inverse / generative design; General PCF modeling / design,,,,,,,,,ManuscriptSeed,83,Primary study claimed by manuscript
"Wu, Z., et al.",LSTM recurrent networks for wavelength-dependent dispersion path sequencing in microstructured links,Journal of Lightwave Technology,2020,Article,LSTM / recurrent; Optical communications / nonlinear optics; chromatic/group velocity dispersion,Deep learning; Optical communications / nonlinear optics,,,,,,,,,ManuscriptSeed,84,Primary study claimed by manuscript
"Zhang, H., et al.",Variational autoencoders for compressing multi-parameter cladding profiles into low-dimensional latent states,Optics Express,2021,Article,VAE / beta-VAE / CVAE; General PCF modeling / design; Not explicit in title,Inverse / generative design; General PCF modeling / design,,,,,,,,,ManuscriptSeed,85,Primary study claimed by manuscript
"Al-Haji, M., et al.",XGBoost regression for accelerated feature importance discovery in multi-component PCF designs,Optical Fiber Technology,2021,Article,XGBoost / gradient boosting / LightGBM; General PCF modeling / design; Not explicit in title,Classical ML; General PCF modeling / design,,,,,,,,,ManuscriptSeed,86,Primary study claimed by manuscript
"Paul, B. K., et al.",DL surrogate modeling for predicting relative sensitivity in chemical sensors based on square-lattice PCFs,Results in Physics,2021,Article,Transformer / attention / ViT; Machine learning general; Chemical / gas / liquid sensing; sensitivity / FOM / RIU,Deep learning; Chemical / gas / liquid sensing,,,,,,,,,ManuscriptSeed,87,Primary study claimed by manuscript
"Sun, Y., et al.",Optimization of dispersion flattest profiles using automated Bayesian DL surrogates,Optik,2021,Article,Bayesian optimization / active learning; Machine learning general; Optical communications / nonlinear optics; chromatic/group velocity dispersion,Hybrid AI-metaheuristic / optimizer; Optical communications / nonlinear optics,,,,,,,,,ManuscriptSeed,88,Primary study claimed by manuscript
"Liu, D., et al.",DL-driven geometric classification and inverse topology mapping of anti-resonant hollow-core fiber cross-sections,Optics Express,2022,Article,Not explicit in title - full-text extraction needed; Hollow-core / anti-resonant PCF; geometry / topology / structural validity,Background / non-AI / requires coding; Hollow-core / anti-resonant PCF,,,,,,,,,ManuscriptSeed,89,Primary study claimed by manuscript
"Islam, M. R., et al.",High-birefringence THz fiber design using hybrid PSO and DNNs,Journal of Lightwave Technology,2022,Article,Particle swarm / PSO; THz PCF waveguides; birefringence,Deep learning; THz PCF waveguides,,,,,,,,,ManuscriptSeed,90,Primary study claimed by manuscript
"Wang, J., et al.",Deep tandem networks for resolving inverse configuration mapping inconsistencies in high-dimensional PCF specs,IEEE Photonics Journal,2022,Article,Not explicit in title - full-text extraction needed; General PCF modeling / design; Not explicit in title,Inverse / generative design; General PCF modeling / design,,,,,,,,,ManuscriptSeed,91,Primary study claimed by manuscript
"Siddique, A., et al.",Sensitivity maximization of gold-graphene plasmonic biosensors using gradient boosted regression trees,Results in Physics,2022,Article,Transformer / attention / ViT; XGBoost / gradient boosting / LightGBM; PCF-SPR / biosensing; sensitivity / FOM / RIU,Deep learning; PCF-SPR / biosensing,,,,,,,,,ManuscriptSeed,92,Primary study claimed by manuscript
"Zheng, L., et al.",Physics-informed neural networks enforcing continuous electromagnetic boundary residuals across PCF interfaces,Optics Express,2023,Article,PINN / physics-informed; ANN / MLP / BPNN; General PCF modeling / design; Not explicit in title,Deep learning; General PCF modeling / design,,,,,,,,,ManuscriptSeed,93,Primary study claimed by manuscript
